HS_used	TL_used	Share_TL_used	HS_selected	TL_selected
HS07	291529	0.333333333333333	HS02	291522
HS07	291529	0.333333333333333	HS02	291523
HS07	291529	0.333333333333333	HS02	291529
HS07	291539	0.333333333333333	HS02	291534
HS07	291539	0.333333333333333	HS02	291535
HS07	291536	1	HS02	291539
HS07	291539	0.333333333333333	HS02	291539
HS07	291734	0.5	HS02	291731
HS07	291734	0.5	HS02	291734
HS07	285200	0.0344827586206897	HS02	291811
HS07	291811	1	HS02	291811
HS07	291818	1	HS02	291819
HS07	291819	1	HS02	291819
HS07	291891	1	HS02	291890
HS07	291899	1	HS02	291890
HS07	291910	1	HS02	291900
HS07	291990	1	HS02	291900
HS07	292011	1	HS02	292010
HS07	292019	1	HS02	292010
HS07	292119	0.5	HS02	292112
HS07	292119	0.5	HS02	292119
HS07	292229	0.5	HS02	292222
HS07	292229	0.5	HS02	292229
HS07	292412	1	HS02	292419
HS07	292419	1	HS02	292419
HS07	292521	1	HS02	292520
HS07	292529	1	HS02	292520
HS07	293090	0.5	HS02	293010
HS07	293050	1	HS02	293090
HS07	293090	0.5	HS02	293090
HS07	285200	0.0344827586206897	HS02	293100
HS07	293100	1	HS02	293100
HS07	285200	0.0344827586206897	HS02	293299
HS07	293299	1	HS02	293299
HS07	285200	0.0344827586206897	HS02	293499
HS07	293499	1	HS02	293499
HS07	293690	0.5	HS02	293610
HS07	293690	0.5	HS02	293690
HS07	293920	0.5	HS02	293921
HS07	293920	0.5	HS02	293929
HS07	300190	0.5	HS02	300110
HS07	300190	0.5	HS02	300190
HS07	300610	0.0294117647058824	HS02	300610
HS07	300692	1	HS02	300680
HS07	310290	0.5	HS02	310270
HS07	310290	0.5	HS02	310290
HS07	310390	0.5	HS02	310320
HS07	310390	0.5	HS02	310390
HS07	310490	0.5	HS02	310410
HS07	310490	0.5	HS02	310490
HS07	285200	0.0344827586206897	HS02	320190
HS07	320190	1	HS02	320190
HS07	320649	0.333333333333333	HS02	320630
HS07	320649	0.333333333333333	HS02	320643
HS07	320649	0.333333333333333	HS02	320649
HS07	285200	0.0344827586206897	HS02	320650
HS07	320650	1	HS02	320650
HS07	330119	0.333333333333333	HS02	330111
HS07	330119	0.333333333333333	HS02	330114
HS07	330119	0.333333333333333	HS02	330119
HS07	330129	0.2	HS02	330121
HS07	330129	0.2	HS02	330122
HS07	330129	0.2	HS02	330123
HS07	330129	0.2	HS02	330126
HS07	330129	0.2	HS02	330129
HS07	340490	0.5	HS02	340410
HS07	340490	0.5	HS02	340490
HS07	285200	0.0344827586206897	HS02	350290
HS07	350290	1	HS02	350290
HS07	285200	0.0344827586206897	HS02	350400
HS07	350400	1	HS02	350400
HS07	370231	0.5	HS02	370220
HS07	370232	0.5	HS02	370220
HS07	370239	0.5	HS02	370220
HS07	370241	0.5	HS02	370220
HS07	370242	0.5	HS02	370220
HS07	370243	0.5	HS02	370220
HS07	370244	0.5	HS02	370220
HS07	370231	0.5	HS02	370231
HS07	370232	0.5	HS02	370232
HS07	370239	0.5	HS02	370239
HS07	370241	0.5	HS02	370241
HS07	370242	0.5	HS02	370242
HS07	370243	0.5	HS02	370243
HS07	370244	0.5	HS02	370244
HS07	370590	0.5	HS02	370520
HS07	370590	0.5	HS02	370590
HS07	285200	0.0344827586206897	HS02	370790
HS07	370790	1	HS02	370790
HS07	380590	0.5	HS02	380520
HS07	380590	0.5	HS02	380590
HS07	380850	0.2	HS02	380810
HS07	380891	1	HS02	380810
HS07	380850	0.2	HS02	380820
HS07	380892	1	HS02	380820
HS07	380850	0.2	HS02	380830
HS07	380893	1	HS02	380830
HS07	380850	0.2	HS02	380840
HS07	380894	1	HS02	380840
HS07	380850	0.2	HS02	380890
HS07	380899	1	HS02	380890
HS07	382100	0.5	HS02	382100
HS07	285200	0.0344827586206897	HS02	382200
HS07	382200	1	HS02	382200
HS07	382490	0.25	HS02	382420
HS07	382471	0.5	HS02	382471
HS07	382490	0.25	HS02	382471
HS07	382472	0.5	HS02	382479
HS07	382473	0.5	HS02	382479
HS07	382477	0.5	HS02	382479
HS07	382479	0.5	HS02	382479
HS07	382490	0.25	HS02	382479
HS07	382100	0.5	HS02	382490
HS07	382471	0.5	HS02	382490
HS07	382472	0.5	HS02	382490
HS07	382473	0.5	HS02	382490
HS07	382474	1	HS02	382490
HS07	382475	1	HS02	382490
HS07	382476	1	HS02	382490
